Name,Code,E,N,Z
p121,4,644891.250,63163.109,755.724
p122,4,644891.260,63166.476,755.610
p123,4,644887.100,63169.147,755.512
p124,4,644883.538,63171.684,755.429
p125,4,644879.421,63173.762,755.515
p126,4,644878.594,63177.282,755.620
p127,4,644880.431,63181.577,755.583
p128,4,644881.930,63185.501,755.465
p129,1,644873.689,63180.023,750.571
p130,1,644871.810,63175.584,750.498
p131,1,644869.286,63169.765,750.307
p132,1,644868.171,63164.562,750.222
p133,1,644867.280,63158.921,750.199
p134,1,644867.576,63154.575,750.102
p135,1,644867.729,63150.805,750.263
p136,1,644873.051,63150.235,749.927
p137,1,644876.961,63149.668,749.876
p138,12,644874.795,63147.310,749.993
p139,12,644868.308,63148.661,750.178
